ordem,localidade,pais,latitude,longitude,endereco_localidade,fonte_localidade,fonte_coordenadas,osm_elemento,metodo_coordenadas,classe_id,classe_codigo,classe_descricao_fonte,classe_descricao_pt,clima_principal,criterio_precipitacao,criterio_temperatura,classe_cor_rgb,classe_cor_hex,confianca_pct,confianca_interpretacao,pixel_linha,pixel_coluna,pixel_centro_latitude,pixel_centro_longitude,distancia_ponto_centro_pixel_km,metodo_amostragem,crs,resolucao_longitude_graus,resolucao_latitude_graus,resolucao_nominal,versao_produto,cenario_produto,arquivo_raster_classe_1km,arquivo_raster_confianca_1km,arquivo_raster_fundo_05grau,arquivo_legenda,software_criacao_raster,fonte_autores,fonte_titulo,fonte_periodico,fonte_ano,fonte_doi,fonte_url,md5_raster_classe_1km,md5_raster_confianca_1km,md5_raster_fundo_05grau,md5_legenda
1,BYD Camacari,Brasil,-12.6733774000,-38.2812339000,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",1,Af,"Tropical, rainforest",Tropical; sem estação seca (floresta tropical),Tropical,sem estação seca (floresta tropical),não se aplica,"0,0,255",#0000ff,100,valor percentual fornecido pelo raster de confiança,12320,17006,-12.6708333333,-38.2791666667,0.3610001717,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
2,Tesla Gigafactory Nevada,EUA,39.5403926000,-119.4390524000,"1 Electric Avenue, Storey County, Nevada 89437, EUA",https://www.tesla.com/contact,https://www.openstreetmap.org/way/422015619,way/422015619,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",5,BWk,"Arid, desert, cold",Árido; deserto; frio,Árido,deserto,frio,"255,150,150",#ff9696,100,valor percentual fornecido pelo raster de confiança,6055,7267,39.5375000000,-119.4375000000,0.3481031037,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
3,Tesla Gigafactory Texas,EUA,30.2219321000,-97.6187733000,"1 Tesla Road, Austin, Texas 78725, EUA",https://www.tesla.com/giga-texas,https://www.openstreetmap.org/way/990257143,way/990257143,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",14,Cfa,"Temperate, no dry season, hot summer",Temperado; sem estação seca; verão quente,Temperado,sem estação seca,verão quente,"200,255,80",#c8ff50,100,valor percentual fornecido pelo raster de confiança,7173,9885,30.2208333333,-97.6208333333,0.2326040357,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
4,Hyundai Metaplant Georgia,EUA,32.1605262000,-81.4509985000,"1500 Genesis Drive, Ellabell, Georgia 31308, EUA",https://www.hyundaimotorgroup.com/en/news/CONT0000000000173041,https://www.openstreetmap.org/way/1207640268,way/1207640268,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",14,Cfa,"Temperate, no dry season, hot summer",Temperado; sem estação seca; verão quente,Temperado,sem estação seca,verão quente,"200,255,80",#c8ff50,100,valor percentual fornecido pelo raster de confiança,6940,11825,32.1625000000,-81.4541666667,0.3702827514,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
5,Rivian Normal,EUA,40.5092914000,-89.0545444000,"100 Rivian Motorway, Normal, Illinois 61761, EUA",https://stories.rivian.com/r2-expansion-03-2025,https://www.openstreetmap.org/way/438033786,way/438033786,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",25,Dfa,"Cold, no dry season, hot summer",Frio/continental; sem estação seca; verão quente,Frio/continental,sem estação seca,verão quente,"0,255,255",#00ffff,100,valor percentual fornecido pelo raster de confiança,5938,10913,40.5125000000,-89.0541666667,0.3582067769,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
6,Tesla Fremont Factory,EUA,37.4926897000,-121.9415083000,"45500 Fremont Boulevard, Fremont, California 94538, EUA",https://www.tesla.com/contact,https://www.openstreetmap.org/way/38080584,way/38080584,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",9,Csb,"Temperate, dry summer, warm summer",Temperado; verão seco; verão ameno,Temperado,verão seco,verão ameno,"200,200,0",#c8c800,100,valor percentual fornecido pelo raster de confiança,6300,6967,37.4958333333,-121.9375000000,0.4972344273,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
7,Lucid AMP 1 Casa Grande,EUA,32.8568519000,-111.7784376000,"317 S. Thornton Road, Casa Grande, Arizona 85193, EUA",https://ir.lucidmotors.com/news-releases/news-release-details/lucid-starts-production-groundbreaking-lucid-air-arizona/,https://www.openstreetmap.org/way/1254715766,way/1254715766,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",4,BWh,"Arid, desert, hot",Árido; deserto; quente,Árido,deserto,quente,"255,0,0",#ff0000,100,valor percentual fornecido pelo raster de confiança,6857,8186,32.8541666667,-111.7791666667,0.3062524955,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
8,GM Factory Zero,EUA,42.3815123000,-83.0453415000,"2500 East Grand Boulevard, Detroit, Michigan 48211, EUA",https://www.gm.com/company/facilities/factory-zero,https://www.openstreetmap.org/way/554307172,way/554307172,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",25,Dfa,"Cold, no dry season, hot summer",Frio/continental; sem estação seca; verão quente,Frio/continental,sem estação seca,verão quente,"0,255,255",#00ffff,100,valor percentual fornecido pelo raster de confiança,5714,11634,42.3791666667,-83.0458333333,0.2639329578,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
9,Ford Rouge Electric Vehicle Center,EUA,42.3056229000,-83.1676332000,"Ford River Rouge Complex, Dearborn, Michigan 48120, EUA",https://corporate.ford.com/corporate/articles/products/f-150-lightning,https://www.openstreetmap.org/way/496054397,way/496054397,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",25,Dfa,"Cold, no dry season, hot summer",Frio/continental; sem estação seca; verão quente,Frio/continental,sem estação seca,verão quente,"0,255,255",#00ffff,100,valor percentual fornecido pelo raster de confiança,5723,11619,42.3041666667,-83.1708333333,0.3089952208,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
10,BMW San Luis Potosi,Mexico,21.9682649000,-100.8491733000,"Boulevard BMW 655, Parque Industrial Desarrollo Logistik II, Villa de Reyes, San Luis Potosi 79526, Mexico",https://www.bmwgroup-werke.com/san-luis-potosi/en/contact.html,https://www.openstreetmap.org/way/553644102,way/553644102,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",6,BSh,"Arid, steppe, hot",Árido; estepe; quente,Árido,estepe,quente,"245,165,0",#f5a500,50,valor percentual fornecido pelo raster de confiança,8163,9498,21.9708333333,-100.8458333333,0.4474259574,célula raster que contém o ponto WGS84; sem interpolação,EPSG:4326,0.0083333333,0.0083333333,1 km,Beck_KG_V1,present,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_conf_0p0083.tif,dados/externos/koppen_geiger/Beck_KG_V1/Beck_KG_V1_present_0p5.tif,dados/externos/koppen_geiger/Beck_KG_V1/legend.txt,"MATLAB 9.2, Mapping Toolbox 4.5","Beck, H. E.; Zimmermann, N. E.; McVicar, T. R.; Vergopolan, N.; Berg, A.; Wood, E. F.",Present and future Koppen-Geiger climate classification maps at 1-km resolution,Scientific Data,2018,10.1038/sdata.2018.214,https://doi.org/10.1038/sdata.2018.214,fe8f23532bfb59231a072398f0d9a7cb,a87f331e406e4ef02114e1350eb2dd01,78d09475fa4b0dbb004b6178cba47b4a,f0632ca1b3b475d3de5a143c4ee1928f
